Reference,Date,Author
16813566,2006 Nov 01,"#Name Jan K Jensen #Affiliation Department of Molecular Biology, University of Aarhus, Gustav Wieds Vej 10C, 8000 Aarhus C, Denmark. #Name Anders Malmendal #Name Birgit Schiøtt #Name Sune Skeldal #Name Katrine E Pedersen #Name Leyla Celik #Name Niels Chr Nielsen #Name Peter A Andreasen #Name Troels Wind"
16527822,2006 May 05,"#Name Can Hekim #Affiliation Department of Clinical Chemistry, Helsinki University Central Hospital, Biomedicum, FIN-00290 Helsinki, Finland. #Name Jari Leinonen #Name Ale Närvänen #Name Hannu Koistinen #Name Lei Zhu #Name Erkki Koivunen #Name Ville Väisänen #Name Ulf-Håkan Stenman"
16369013,2006 Jan,"#Name Uta Gasanov #Affiliation Discipline of Immunology & Microbiology, Faculty of Health, The University of Newcastle, Royal Newcastle Hospital, Newcastle, New South Wales 2300, Australia. #Name Craig Koina #Name Kenneth W Beagley #Name R John Aitken #Name Philip M Hansbro"
16312021,2006 Jan,"#Name Catherine Ferrieu-Weisbuch #Affiliation Unité Mixte de Recherche UMR 2714 CNRS-bioMérieux, IFR 128 BioSciences Lyon-Gerland, 21 Avenue Tony Garnier, 69365 LYON Cedex 07, France. #Name Sandrine Michel #Name Emilie Collomb-Clerc #Name Catherine Pothion #Name Gilbert Deléage #Name Colette Jolivet-Reynaud"
16524885,2006 May 05,"#Name Yunying Chen #Affiliation Division of Matrix Biology, Department of Medical Biochemistry and Biophysics, Karolinska Institute, S-171 77 Stockholm, Sweden. #Name Marko Sankala #Name Juha R M Ojala #Name Yi Sun #Name Ari Tuuttila #Name David E Isenman #Name Karl Tryggvason #Name Timo Pikkarainen"
7649995,1995 Aug 25,"#Name I M Takenaka #Affiliation Bristol-Myers Squibb Pharmaceutical Research Institute, Princeton, New Jersey 08543, USA. #Name S M Leung #Name S J McAndrew #Name J P Brown #Name L E Hightower"
16288119,2005 Nov 16,"#Name Angelika B Riemer #Affiliation Department of Pathophysiology, Medical University of Vienna, Vienna, Austria. #Name Harald Kurz #Name Markus Klinger #Name Otto Scheiner #Name Christoph C Zielinski #Name Erika Jensen-Jarolim"
15210798,2004 Jul 01,"#Name Angelika B Riemer #Affiliation BioLife Science, and Department of Pathophysiology, Medical University of Vienna, Waehringer Guertel 18-20, A-1090 Vienna, Austria. #Name Markus Klinger #Name Stefan Wagner #Name Astrid Bernhaus #Name Luca Mazzucchelli #Name Hubert Pehamberger #Name Otto Scheiner #Name Christoph C Zielinski #Name Erika Jensen-Jarolim"
15684661,2004 Dec,"#Name Wei-Jen Chang #Affiliation Department of Biochemistry and Research Institute of Oral Science, Nihon University School of Dentistry at Matsudo, Chiba, Japan. #Name Michiko Kishikawa-Kiyama #Name Yasuko Shibata #Name Sheng-Yang Lee #Name Yoshimitsu Abiko"
12855711,2003 Sep 26,"#Name Karen Vanhoorelbeke #Affiliation Laboratory for Thrombosis Research, IRC, KU Leuven Campus Kortrijk, E. Sabbelaan 53, 8500 Kortrijk, Belgium. #Name Hilde Depraetere #Name Roland A P Romijn #Name Eric G Huizinga #Name Marc De Maeyer #Name Hans Deckmyn"
12676786,2003 Aug 01,"#Name Sylvie Villard #Affiliation Unité Mixte de Recherche 5094 of the Centre National de la Recherche Scientifique Institut National de la Recherche Médicale, Faculté de Pharmacie, Montpellier, France. #Name Sebastien Lacroix-Desmazes #Name Thomas Kieber-Emmons #Name Dominique Piquer #Name Sabrina Grailly #Name Abdellah Benhida #Name Srini V Kaveri #Name Jean-Marie Saint-Remy #Name Claude Granier"
16630634,2006 May 26,"#Name Natalia Tarnovitski #Affiliation Department of Cell Research and Immunology, Tel Aviv University, George S. Wise Faculty of Life Science, Israel. #Name Leslie J Matthews #Name Jianhua Sui #Name Jonathan M Gershoni #Name Wayne A Marasco"
16940148,2006 Sep,"#Name Erez M Bublil #Affiliation Department of Cell Research and Immunology, Tel Aviv University, Ramat Aviv, Aviv 69978, Israel. #Name Sharon Yeger-Azuz #Name Jonathan M Gershoni"
7592831,1995 Nov 03,"#Name F R DeLeo #Affiliation Department of Veterinary Molecular Biology, Montana State University, Bozeman, Montana 59717, USA. #Name W M Nauseef #Name A J Jesaitis #Name J B Burritt #Name R A Clark #Name M T Quinn"
7624379,1995 Jul 18,"#Name F R DeLeo #Affiliation Department of Veterinary Molecular Biology, Montana State University, Bozeman 59717, USA. #Name L Yu #Name J B Burritt #Name L R Loetterle #Name C W Bond #Name A J Jesaitis #Name M T Quinn"
12639821,2003 Mar,"#Name Wei Hong Rao #Affiliation Division of Dermatology, University of Leicester, Medical Sciences Building, University Road, Leicester LE1 9HN, UK. #Name Richard D R Camp"
9395536,1997 Dec 12,"#Name C Huang #Affiliation Department of Medicine, Harvard Medical School, Boston, Massachusetts 02115, USA. #Name G W Wong #Name N Ghildyal #Name M F Gurish #Name A Sali #Name R Matsumoto #Name W T Qiu #Name R L Stevens"
9858597,1999 Jan,"#Name J D Nosanchuk #Affiliation Departments of Medicine, Albert Einstein College of Medicine, Bronx, New York 10461, USA. #Name P Valadon #Name M Feldmesser #Name A Casadevall"
9360978,1997 Nov 14,"#Name L Oligino #Affiliation Vermont Cancer Center, University of Vermont, Burlington, Vermont 05405, USA. #Name F D Lung #Name L Sastry #Name J Bigelow #Name T Cao #Name M Curran #Name T R Burke #Name S Wang #Name D Krag #Name P P Roller #Name C R King"
9252355,1997 Aug 15,"#Name S H Ke #Affiliation Department of Vascular Biology, The Scripps Research Institute, La Jolla, California 92037, USA. #Name G S Coombs #Name K Tachias #Name D R Corey #Name E L Madison"
9346944,1997 Oct 31,"#Name M Szardenings #Affiliation Department of Pharmaceutical Pharmacology, Uppsala University, S-75 124 Uppsala, Sweden. msz@bmc.uu.se #Name S Törnroth #Name F Mutulis #Name R Muceniece #Name K Keinänen #Name A Kuusinen #Name J E Wikberg"
16423833,2006 Mar 17,"#Name Ranveig Braathen #Affiliation Laboratory for Immunohistochemistry and Immunopathology (LIIPAT), Institute of Pathology, University of Oslo, Rikshospitalet University Hospital, N-0027 Oslo, Norway. ranveig.braathen@medisin.uio.no #Name Anders Sandvik #Name Gøril Berntzen #Name Sven Hammerschmidt #Name Burkhard Fleckenstein #Name Inger Sandlie #Name Per Brandtzaeg #Name Finn-Eirik Johansen #Name Vigdis Lauvrak"
16928679,2006 Nov 17,"#Name David M Carter #Affiliation Department of Microbiology and Immunology, and Sheldon Biotechnology Centre, McGill University, Montreal, Quebec H3A 2B4, Canada. #Name Isabelle R Miousse #Name Jean-Nicolas Gagnon #Name Eric Martinez #Name Abigail Clements #Name Jongchan Lee #Name Mark A Hancock #Name Hubert Gagnon #Name Peter D Pawelek #Name James W Coulton"
15528216,2005 Feb,"#Name Jun Zou #Affiliation Department of Biochemistry, University of Missouri, Columbia, MO 65212, USA. #Name Vladislav V Glinsky #Name Linda A Landon #Name Leslie Matthews #Name Susan L Deutscher"
15847166,2005 Feb,"#Name Fu-qiang Zhang #Affiliation Yunnan Tropical and Subtropical Animal Virus Diseases Laboratory, Kunming 650224, China. zfq1968@yahoo.com.cn #Name Zhi-hua Li #Name Nian-zu Zhang"
15634921,2005 Jan 15,"#Name Stefan Wagner #Affiliation Bio Life Science, Vienna, Austria. #Name Christine Hafner #Name Dorothee Allwardt #Name Joanna Jasinska #Name Soldano Ferrone #Name Christoph C Zielinski #Name Otto Scheiner #Name Ursula Wiedermann #Name Hubert Pehamberger #Name Heimo Breiteneder"
15908434,2005 Jul 22,"#Name Guang Yang #Affiliation Beijing Institute of Basic Medical Sciences, Beijing 100850, China. #Name Yaping Gao #Name Jie Dong #Name Chuan Liu #Name Yanning Xue #Name Ming Fan #Name Beifen Shen #Name Ningsheng Shao"
15659541,2005 Feb,"#Name François Sanschagrin #Affiliation Centre de Recherche sur la Fonction, Structure et Ingénierie des Protéines, Faculté de Médecine, Pavillon Charles-Eugène-Marchand, Université Laval, Sainte-Foy, Québec, Canada G1K 7P4. #Name Roger C Levesque"
15384175,2005 Mar,"#Name Philip Robinson #Affiliation UMR7100-CNRS Ecole Supérieure de Biotechnologie de Strasbourg, Université Louis Pasteur, boulevard Sébastien Brandt, 67400-Illkirch, France. #Name Denise Stuber #Name François Deryckère #Name Philip Tedbury #Name Magali Lagrange #Name Georges Orfanoudakis"
15845542,2005 Jun 24,"#Name Kirill Piotukh #Affiliation Protein Engineering Group, Freie Universität Berlin and Forschungsinstitut für Molekulare Pharmakologie, Robert-Rössle-Strasse 10, 13125 Berlin, Germany. #Name Wei Gu #Name Michael Kofler #Name Dirk Labudde #Name Volkhard Helms #Name Christian Freund"
15528296,2005 Jan,"#Name Yvonne Baumgart #Affiliation Institute of Biochemistry, University of Leipzig, Liebigstrasse 16, 04103 Leipzig, Germany. #Name Andreas Otto #Name Angelika Schäfer #Name Elke Usbeck #Name Christiane Cott #Name Astrid Schott #Name Maria Tornack #Name Anett Wenzel #Name Andualem Mossie #Name Gerd Birkenmeier"
15126333,2004 May 01,"#Name Philip P Connell #Affiliation Department of Radiation and Cellular Oncology, University of Chicago, Chicago, Illinois 60637, USA. #Name Nazli Siddiqui #Name Sara Hoffman #Name Audrey Kuang #Name Emir-Assan Khatipov #Name Ralph R Weichselbaum #Name Douglas K Bishop"
12657725,2003 Mar,"#Name Li Xu #Affiliation Institute of Gastroenterology, Xijing Hospital, Fourth Military Medical University, Xi'an, Shaanxi, 710032, People's Republic of China. #Name Bo-Quan Jin #Name Dai-Ming Fan"
16319141,2005 Dec,"#Name Zonghai Li #Affiliation National Laboratory for Oncogenes and Related Genes, Shanghai Cancer Institute, Medical College of Shanghai Jiao Tong University, Shanghai, China. #Name Ruijiao Zhao #Name Xianghua Wu #Name Ye Sun #Name Ming Yao #Name Jinjun Li #Name Yuhong Xu #Name Jianren Gu"
15905554,2005 Jun 01,"#Name Wei Luo #Affiliation Department of Immunology, Roswell Park Cancer Institute, Buffalo, NY 14263, USA. #Name Jeff Chi-feng Hsu #Name Chun-yen Tsao #Name Eric Ko #Name Xinhui Wang #Name Soldano Ferrone"
15536075,2005 Feb 11,"#Name Beihai Jiang #Affiliation Department of Biochemistry and Molecular Biology, Beijing Institute for Cancer Research and Peking University School of Oncology, Beijing 100034, China. #Name Wenbin Liu #Name Hong Qu #Name Lin Meng #Name Shumei Song #Name Tao Ouyang #Name Chengchao Shou"
15812883,2005 Mar,"#Name Hong-yu Jia #Affiliation Institute of Infectious Disease, The First Affiliated Hospital, Key Laboratory of Infectious Disease Ministry of Health, College of Medicine, Zhejiang University, Hangzhou 310003, China. jia-hy@tom.com #Name Zhi Chen #Name Lin-fu Zhou #Name Feng Chen #Name Hai-hong Zhu #Name Ji-hong Liu #Name Xiao-yan Xu"
15618169,2005 Jan,"#Name Ulrike K Buchwald #Affiliation Albert Einstein College of Medicine, Division of Infectious Diseases, Room 709 Forchheimer Bldg., 1300 Morris Park Ave., Bronx, NY 10461, USA. #Name Andrew Lees #Name Michael Steinitz #Name Liise-Anne Pirofski"
15162530,2004 Jun 01,"#Name Ying Gu #Affiliation The Key Laboratory of Ministry of Education for Cell Biology and Tumor Cell Engineering, Xiamen University, Xiamen 361005, Fujian Province, China. #Name Jun Zhang #Name Ying-Bing Wang #Name Shao-Wei Li #Name Hai-Jie Yang #Name Wen-Xin Luo #Name Ning-Shao Xia"
15207087,2004 Jul,"#Name Chang-jun Wang #Affiliation Institute of Military Medicine, Nanjing Command, Nanjing 210002, China. science2008@yahoo.com.cn #Name Jia-qi Tang #Name Kai-hua Tao #Name Xian-fu Li #Name Wei Bai #Name Heng-bing Guo"
15564686,2004 Nov,"#Name Haruko Sekimoto #Affiliation Department of Applied Biological Chemistry, University of Tokyo, Japan. #Name Yoshihito Suzuki #Name Isomaro Yamaguchi"
17037189,2006 Sep,"#Name Rong-Hong Hua #Affiliation Notional Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural of Science. #Name Dong-Lai Wu #Name Guang-Zhi Tong #Name Yun-Feng Wang #Name Zhi-Jun Tian #Name Yan-Jun Zhou"
16867257,2006 Aug,"#Name Wang Tian #Affiliation Department of Microbiology, College of Life Sciences, Nankai University, Tianjin 300071, China. #Name Gang Bai #Name Zheng-He Li #Name Wen-Bo Yang"
16186382,2005 Oct,"#Name Simone Baltrusch #Affiliation Institute of Clinical Biochemistry, Hannover Medical School, D-30623 Hannover, Germany. baltrusch.simone@mh-hannover.de #Name Flavio Francini #Name Sigurd Lenzen #Name Markus Tiedge"
15506167,2004 May,"#Name Michele J Writer #Affiliation Molecular Immunology Unit, Institute of Child Health, 30 Guilford Street, London WC1N 1EH, UK. #Name Barry Marshall #Name Michael A Pilkington-Miksa #Name Susie E Barker #Name Marianne Jacobsen #Name Angelika Kritz #Name Paul C Bell #Name Douglas H Lester #Name Alethea B Tabor #Name Helen C Hailes #Name Nigel Klein #Name Stephen L Hart"
15041534,2004 Mar,"#Name Pei-hong Miao #Affiliation Department of Pharmacology, First Military Medical University, Guangzhou 510515, China. miaoph@fimmu.com #Name Bei-yi Liu #Name Shan-gen Zheng #Name Jian-xin Pang #Name Jiang-ping Xu"
14764731,2004 Feb 15,"#Name Yuan Liu #Affiliation Department of Pathology and Laboratory Medicine, Emory University, Atlanta, GA 30322, USA. #Name Miriam B O'Connor #Name Kenneth J Mandell #Name Ke Zen #Name Axel Ullrich #Name Hans-Jörg Bühring #Name Charles A Parkos"
7929055,1994 Sep 30,"#Name C Cheadle #Affiliation Department of Molecular Biology, Rhône-Poulenc Rorer Central Research, Collegeville, Pennsylvania 19426. #Name Y Ivashchenko #Name V South #Name G H Searfoss #Name S French #Name R Howk #Name G A Ricca #Name M Jaye"
7988556,1994 Dec 01,"#Name R J Rickles #Affiliation ARIAD Pharmaceuticals, Cambridge, MA 02139. #Name M C Botfield #Name Z Weng #Name J A Taylor #Name O M Green #Name J S Brugge #Name M J Zoller"
16000308,2005 Sep 30,"#Name Michael Kofler #Affiliation Protein Engineering Group, Forschungsinstitut für Molekulare Pharmakologie and Freie Universität Berlin, Robert-Rössle-Strasse 10, 13125 Berlin, Germany. #Name Kathrin Motzny #Name Michael Beyermann #Name Christian Freund"
16120600,2005 Nov,"#Name Michael Kofler #Affiliation Protein Engineering Group, Forschungsinstitut für Molekulare Pharmakologie and Freie Universität Berlin, Robert-Rössle-Str. 10, 13125 Berlin, Germany. #Name Kathrin Motzny #Name Christian Freund"
17301381,2003 Dec,"#Name Zohreh Jadali #Affiliation Dept. of Immunology, School of Public Health, Tehran University of Medical Sciences. Zjadali@razi.tums.ac.ir. #Name Mohammad Bagher Eslami #Name Mohammad Hossein Sanati #Name Parvin Mansoori #Name Mahmoud Mahmoudi #Name Nader Maghsoodi #Name Mehdi Arbabi Ghahroudi"
8663333,1996 Jul 19,"#Name F R De Leo #Affiliation Department of Veterinary Molecular Biology, Montana State University, Bozeman, Montana 59715, USA. #Name K V Ulman #Name A R Davis #Name K L Jutila #Name M T Quinn"
9973494,1999 Feb 15,"#Name B T Messmer #Affiliation Sackler Laboratory for Molecular Genetics and Informatics, The Rockefeller University, New York 10021, USA. #Name J J Sullivan #Name N Chiorazzi #Name T C Rodman #Name D S Thaler"
16188121,2005 Jul,"#Name Ke-dong Zhang #Affiliation Affiliated Hospital, Ningxia Medical College, Yinchuan 750004, China. #Name Xin-ning Guo #Name Li Yang #Name Dong-tao Zhang #Name Fei-hu Bai #Name Hai-ping Jiang #Name Hui-hong Zhai #Name Yong-zhan Nie #Name Kai-chun Wu #Name Dai-ming Fan"
16150491,2006 Mar,"#Name Eva Untersmayr #Affiliation Center of Physiology and Pathophysiology, Medical University of Vienna, Waehringer Guertel 18-20, A-1090 Vienna, Austria. #Name Krisztina Szalai #Name Angelika B Riemer #Name Wolfgang Hemmer #Name Ines Swoboda #Name Brigitte Hantusch #Name Isabella Schöll #Name Susanne Spitzauer #Name Otto Scheiner #Name Reinhart Jarisch #Name George Boltz-Nitulescu #Name Erika Jensen-Jarolim"
15543570,2005 Jan,"#Name Majid Eshaghi #Affiliation Department of Microbiology, Faculty of Biotechnology and Biomolecular Sciences, Universiti Putra Malaysia, Serdang, Selangor, Malaysia. #Name Wen Siang Tan #Name Khatijah Yusoff"
15863836,2005 Jul,"#Name M Lunder #Affiliation Department of Pharmaceutical Biology, Faculty of Pharmacy, Ljubljana, Slovenia. mojca.lunder@ffa.uni-lj.si #Name T Bratkovic #Name S Kreft #Name B Strukelj"
16006240,2005 Jun,"#Name Anne Werner #Affiliation Department of Medicine, Institute of Physiological Chemistry, Philipps-University Marburg, D-35043 Marburg, Germany. #Name Klaus-Heinrich Röhm #Name Hans-Joachim Müller"
15560754,2005 Apr 15,"#Name Goar Gevorkian #Affiliation Departamento de Inmunología, Instituto de Investigaciones Biomédicas, Universidad Nacional Autónoma de México, Apdo. Postal 70-228, Coyoacán 04510, Mexico. #Name Erika Segura #Name Gonzalo Acero #Name José P Palma #Name Clara Espitia #Name Karen Manoutcharian #Name Luz M López-Marín"
15585132,2004 Nov,"#Name Michael J McGuire #Affiliation Center for Biomedical Inventions, Department of Internal Medicine, University of Texas Southwestern Medical Center, Dallas, Texas, USA. #Name Kathryn F Sykes #Name Kausar N Samli #Name Laura Timares #Name Michael A Barry #Name Katherine Stemke-Hale #Name Frank Tagliaferri #Name Mark Logan #Name Kimberly Jansa #Name Akira Takashima #Name Kathlynn C Brown #Name Stephen Albert Johnston"
15483241,2004 Nov,"#Name K L Mansfield #Affiliation Rabies Research and Diagnostic Group (WHO Collaborating Centre), Veterinary Laboratories Agency-Weybridge, Woodham Lane, New Haw, Surrey, KT15 3NB, UK. #Name N Johnson #Name A R Fooks"
15893405,2005 Nov,"#Name Stéphane Bonetto #Affiliation Institut de Biologie Structurale et Microbiologie, Laboratoire d'Ingénierie des Systèmes Macromoléculaires, UPR9027, CNRS, 31 chemin Joseph Aiguier, 13402 Marseille Cedex 20, France. #Name Isabelle Carlavan #Name Daniel Baty"
15047171,2004 Apr 23,"#Name Kenichi Yoshida #Affiliation Division of Genetic Diagnosis, Institute of Medical Science, University of Tokyo, 4-6-1 Shirokanedai, Minato-ku, Tokyo 108-8639, Japan. yoshidak@ims.u-tokyo.ac.jp #Name Ituro Inoue"
15774614,2005 Jul 15,"#Name Zongdong Li #Affiliation New York University School of Medicine, 550 First Ave, New York, NY 10016, USA. #Name Michael A Nardi #Name Simon Karpatkin"
15197767,2004 Aug 20,"#Name Ping An #Affiliation Beijing Institute for Cancer Research, Peking University School of Oncology, Western District, Beijing, China. #Name Hetian Lei #Name Jianzhi Zhang #Name Shumei Song #Name Luowen He #Name Genglin Jin #Name Xiaoying Liu #Name Jian Wu #Name Lin Meng #Name Meisheng Liu #Name Chengchao Shou"
14532093,2003 Oct,"#Name David D Williams #Affiliation Department of Microbiology, University of Alabama at Birmingham, Birmingham, Alabama 35294, USA. #Name Orsolya Benedek #Name Charles L Turnbough"
16599583,2006 Mar,"#Name Xuan Guo #Affiliation School of Chemical & Biomolecular Engineering, Georgia Institute of Technology, 311 Ferst Drive, Atlanta, 30332, USA. #Name Rachel R Chen"
7499368,1995 Dec 01,"#Name M K Short #Affiliation Department of Surgery, Massachusetts General Hospital, Boston 02114, USA. #Name P D Jeffrey #Name R F Kwong #Name M N Margolies"
7499368,1995 Dec 01,"#Name M K Short #Affiliation Department of Surgery, Massachusetts General Hospital, Boston 02114, USA. #Name P D Jeffrey #Name R F Kwong #Name M N Margolies"
7987214,1994 Aug,"#Name D J Matthews #Affiliation Department of Protein Engineering, Genentech, Inc., South San Francisco, California 94080. #Name L J Goodman #Name C M Gorman #Name J A Wells"
12486137,2003 Apr 04,"#Name Maria Trexler #Affiliation Institute of Enzymology, Biological Research Center, Hungarian Academy of Sciences, Budapest H-1518, Hungary. #Name Klára Briknarová #Name Marion Gehrmann #Name Miguel Llinás #Name László Patthy"
